word,par
kick,5
kids,5
kill,4
kiln,5
kilo,5
kilt,5
kind,6
kine,6
king,7
kink,6
kins,6
kiss,6
kite,6
kits,5
knap,5
knee,7
knew,6
knit,6
knob,5
knot,5
know,5
koan,4
kook,3
labs,5
lace,5
lack,4
lacy,5
lads,5
lady,6
lags,5
laid,5
lain,4
lair,5
lake,6
lama,5
lamb,5
lame,5
lamp,4
land,6
lane,6
lank,5
laps,5
lard,6
lark,5
lash,5
lass,5
last,4
late,6
lats,5
laud,5
lava,6
lave,6
lawn,5
laws,5
lays,5
laze,6
lazy,6
lead,5
leaf,5
leak,5
leam,4
lean,4
leap,5
leek,5
leer,5
lees,5
left,4
legs,5
lend,6
lens,6
lent,5
lept,5
less,5
lest,4
lets,5
leva,7
levy,8
lewd,6
libs,5
lice,5
lich,5
lick,4
lids,5
lied,5
lien,4
lies,5
lieu,5
life,5
lift,4
like,5
lilt,5
lily,6
lima,4
limb,4
lime,4
limn,4
limo,4
limp,3
line,5
link,5
lint,5
lion,3
lipa,5
lipo,5
lips,5
lira,5
lire,5
lisp,4
list,4
lite,5
live,5
load,4
loaf,4
loam,3
loan,3
lobe,5
lobs,4
loch,4
loci,4
lock,3
loco,4
lode,5
loft,3
logo,5
logs,4
loin,3
loll,3
lone,5
long,5
look,2
loom,2
loon,2
loop,1
loot,2
lope,4
lops,4
lord,5
lore,4
lose,4
loss,4
lost,3
loth,5
lots,4
loud,4
lour,3
lout,3
love,5
lows,4
lube,6
luck,4
luff,6
luge,6
lugs,5
lull,4
luma,4
lump,3
lune,6
lung,6
lure,5
lurk,5
lush,5
lust,4
lute,6
lyes,6
lyre,5
lyse,5
mace,6
mach,7
made,6
mage,6
magi,6
mags,5
maid,6
mail,5
maim,6
main,5
make,6
mako,7
male,5
mall,4
malt,5
mama,6
mana,7
mane,6
mano,6
many,7
maps,5
mare,5
mark,6
mars,6
mart,6
mash,6
mask,6
mass,5
mast,5
mate,6
math,6
mats,5
maul,5
maws,5
maxi,7
mayo,7
maze,6
mazy,7
mead,6
meal,6
mean,5
meat,5
mech,7
meds,5
meek,5
meet,6
mega,7
meld,5
melt,5
meme,5
memo,6
mend,6
menu,7
merc,6
mere,5
mesa,6
mesh,6
mess,5
meta,6
mete,6
meth,6
mews,5
mica,7
mice,6
mics,6
midi,7
mien,5
mike,5
mild,5
mile,5
milk,5
mill,4
mime,5
mind,6
mine,6
mini,6
mink,5
mint,6
minx,6
mire,5
miso,6
miss,5
mist,5
mite,6
mitt,6
moai,5
moan,4
moat,4
mobs,4
mock,4
mode,5
mods,4
mojo,6
mold,4
mole,4
molt,4
moms,4
monk,4
mono,5
mons,4
mood,3
mook,3
moon,3
moor,2
moos,3
moot,3
mope,4
mops,4
more,4
morn,4
mosh,5
moss,4
most,4
mote,5
moth,5
move,5
mown,4
mows,4
much,6
muck,5
muds,5
muff,6
mugs,5
mule,5
mull,4
mums,5
muon,4
muse,6
mush,6
musk,6
muss,5
must,5
mute,6
mutt,6
myth,6
nabs,5
nada,7
naes,6
naff,7
nags,5
nail,5
name,5
nana,8
nano,7
nape,5
naps,5
narc,8
nary,7
nave,6
navy,7
nays,5
neap,6
near,5
neat,5
neck,5
need,5
neon,4
nerd,6
nest,5
nets,5
news,6
newt,6
next,6
nibs,5
nice,6
nick,5
nils,6
nine,6
nips,6
nits,5
nobs,4
nock,4
node,5
nods,4
noel,6
noes,5
none,5
noob,3
nook,3
noon,3
nope,4
norm,5
nose,4
nosh,5
nosy,5
note,5
noun,4
nubs,5
nude,6
nuke,5
null,4
numb,5
nuns,6
nuts,5
oafs,6
oaks,6
oaky,7
oars,6
oath,6
oats,5
odds,7
odes,8
offs,7
oils,7
oily,6
oink,6
omen,9
ones,8
only,7
onus,8
oohs,5
oops,4
ooze,5
oozy,6
open,8
opes,7
opts,6
opus,7
orbs,9
orca,10
orcs,9
ores,8
ouch,7
ours,6
oust,5
outs,5
oven,9
over,9
owed,8
ower,9
owes,8
owls,8
owly,7
owns,9
oxen,9
oxer,10
pace,5
pack,5
pact,6
pads,5
page,5
paid,5
pail,4
pain,5
pair,5
pale,4
pali,4
pall,3
palm,4
pals,4
pane,5
pang,6
pans,5
pant,6
papa,5
paps,5
pare,4
park,5
parp,5
pars,5
part,5
pass,5
past,5
pate,5
path,6
pats,5
pave,5
pawn,6
paws,5
pays,5
peak,5
peal,5
pear,5
peas,5
peat,4
peck,5
pecs,5
peed,4
peek,4
peel,4
peen,4
peep,3
peer,4
pees,4
pegs,5
pelt,5
pend,5
pens,5
pent,5
peon,5
peps,5
perk,5
perm,5
perp,4
pert,5
peso,6
pest,5
pets,5
pews,5
phat,4
phew,5
phis,7
phon,5
pick,5
pics,6
pied,4
pier,5
pies,5
pigs,5
pike,4
pile,4
pill,3
pimp,2
pina,6
pine,5
ping,6
pink,6
pins,5
pint,6
pion,4
pipe,4
pips,5
pish,5
piss,6
pita,6
pith,6
pits,5
pity,6
plan,3
plap,2
plat,3
play,3
plea,4
pled,3
plod,2
plop,1
plot,2
plow,2
ploy,2
plug,5
plum,5
plus,6
pock,4
poco,4
pods,4
poem,5
poet,4
pogo,4
poke,3
pole,3
poll,2
polo,3
poly,3
pome,2
pomp,1
pond,5
pong,5
pons,4
pony,4
poof,1
pool,1
poop,0
poor,1
pope,3
pops,4
pore,3
pork,4
porn,4
port,4
pose,3
posh,4
post,4
posy,4
pots,4
pour,2
pout,3
pram,3
prat,4
pray,4
prep,2
prey,3
prez,3
prig,3
prim,3
prod,2
prof,2
prog,2
prom,2
prop,1
pros,2
prow,2
psis,8
pube,5
pubs,5
puce,5
puck,5
puff,6
pugs,5
puja,4
puke,4
pula,4
pull,3
pulp,3
puma,3
pump,2
punk,5
puns,5
punt,6
puny,5
pupa,4
pups,5
pure,4
purl,4
purr,5
push,5
puss,6
puts,5
putt,6
putz,6
pyre,4
pyro,5
quad,8
quay,9
quid,7
quip,7
quit,6
quiz,7
race,6
rack,5
racy,6
rads,5
raff,7
raft,6
rage,6
rags,5
ragu,6
raid,5
rail,5
rain,5
rake,6
rami,4
ramp,3
rams,4
rand,6
rang,6
rank,5
rant,6
raps,5
rapt,6
rare,5
rase,5
rash,5
rasp,4
rate,6
rats,5
rave,6
raws,5
rays,5
raze,6
razz,7
read,5
real,6
ream,5
reap,6
rear,5
recs,6
redo,6
reds,5
reed,5
reef,6
reek,5
reel,5
refs,6
regs,5
rein,6
reno,7
rent,6
repo,7
reps,6
rest,5
revs,6
rhea,7
riad,5
rial,5
ribs,5
rice,6
rich,6
ride,6
rids,5
riel,5
rife,6
riff,6
rift,5
rigs,5
rile,5
rill,4
rima,5
rime,5
rims,5
rind,6
ring,7
rink,6
riot,4
ripe,5
rips,6
rise,5
risk,6
rite,6
ritz,7
road,4
roam,4
roan,4
roar,4
robe,5
robs,4
rock,4
rocs,5
rode,5
rods,4
roes,5
roid,4
roil,4
role,4
roll,3
romp,2
rood,3
roof,2
rook,3
room,3
root,3
rope,4
ropy,5
rose,4
rosy,5
rote,5
rots,4
rout,4
roux,5
rove,5
rows,4
rube,6
rubs,5
ruby,6
rude,6
rued,5
rues,5
ruff,6
rugs,5
ruin,6
rule,5
rump,3
rums,4
rune,6
rung,6
runs,5
runt,6
ruse,5
rush,6
rusk,6
rust,5
ruth,6
ruts,5
sack,5
sacs,6
sads,5
safe,5
saga,6
sage,5
sags,5
said,5
sail,5
sake,5
sale,5
salt,5
same,4
sand,6
sane,5
sang,6
sank,5
sans,5
saps,5
sari,7
sars,6
sash,6
sass,5
sate,5
save,5
sawn,5
saws,5
says,5
scab,5
scad,6
scag,5
scam,5
scan,6
scar,5
scat,5
scow,4
scum,6
seal,6
seam,5
sear,5
seas,6
seat,5
secs,6
sect,6
seed,5
seek,5
seem,5
seen,5
seep,4
seer,5
sees,5
self,6
sell,5
send,6
sent,6
sera,6
sere,5
serf,6
sesh,7
sets,5
sewn,5
sews,5
shag,5
shah,6
sham,5
shat,5
shaw,5
shea,6
shed,5
shes,6
shim,5
shin,5
ship,4
shit,5
shiv,5
shod,4
shoe,4
shoo,4
shop,3
shot,4
show,4
shun,6
shut,5
sick,5
sics,6
side,6
sift,5
silk,5
sill,4
silo,5
silt,5
simp,3
sine,6
sing,6
sink,6
sins,5
sips,5
sire,5
sirs,6
site,6
sits,5
size,6
skew,5
skid,5
skim,5
skin,5
skip,4
skis,5
skit,5
slab,4
slag,4
slam,4
slap,3
slat,4
slaw,4
slay,4
sled,4
slew,4
slid,4
slim,4
slip,3
slit,4
slob,3
sloe,3
slog,3
slop,2
slot,3
slow,3
slug,4
slum,5
slur,4
smog,4
smug,5
smut,6
snag,5
snap,4
snip,4
snit,5
snob,4
snog,4
snot,4
snow,4
snub,5
snug,5
soak,5
soap,4
soar,4
soba,5
sobs,4
sock,4
soda,5
sods,4
sofa,5
soft,4
sogs,4
soil,4
sold,4
sole,4
solo,4
sols,5
soma,4
some,3
song,5
sons,4
soon,3
soot,3
sops,4
sore,4
sort,4
soul,4
soup,3
sour,3
sown,4
sows,4
spam,5
span,6
spar,5
spas,6
spat,5
spay,5
spec,6
sped,5
spew,5
spin,6
spit,5
spot,4
spud,5
spun,5
spur,4
stab,5
stag,5
star,5
stat,5
stay,5
stem,5
step,4
stet,5
stew,5
stim,5
stir,6
stop,3
stow,4
stub,6
stud,6
stun,6
subs,5
such,6
suck,5
suds,5
sued,5
sues,5
suet,6
suit,5
sulk,6
sumo,4
sump,3
sums,4
sung,6
sunk,5
suns,5
sups,5
sure,5
surf,6
suss,5
swab,5
swag,5
swam,5
swan,5
swap,4
swat,5
sway,5
swig,6
swim,5
swum,6
tabs,5
tack,5
taco,6
tact,6
tags,5
tail,4
take,5
talc,5
tale,5
talk,5
tall,4
tame,4
tamp,4
tang,6
tank,5
tans,5
tape,5
taps,5
tare,5
tarp,5
tars,6
tart,5
task,6
tats,5
taut,5
taxa,9
taxi,8
teak,6
teal,5
team,5
tear,5
teas,6
teat,5
tech,8
teed,5
teem,6
teen,5
tees,5
tell,4
temp,5
tend,6
tens,5
tent,6
term,6
tern,5
test,5
text,6
than,6
that,5
thaw,5
thee,7
them,7
then,6
they,7
thin,5
this,6
thud,8
thug,8
thus,7
tick,5
tics,6
tide,5
tidy,6
tied,5
tier,6
ties,6
tiff,7
tile,5
till,4
tilt,5
time,4
tine,5
ting,6
tink,5
tins,5
tint,6
tiny,6
tips,5
tire,5
tits,5
toad,4
tock,4
toed,4
toes,5
toil,3
toke,4
told,4
tole,4
toll,3
tomb,4
tome,3
toms,4
tone,4
tong,5
tonk,4
tons,4
took,3
tool,2
toon,3
toot,3
tops,4
tore,4
tori,5
torn,4
torr,4
tort,4
tosh,5
toss,4
tote,4
tots,4
tour,3
tout,4
town,4
tows,4
toys,4
trad,4
tram,4
trap,4
tray,5
tree,6
trek,7
trim,4
trio,5
trip,4
trod,3
trot,4
true,7
tsar,6
tuba,6
tube,6
tubs,5
tuck,5
tuff,6
tuft,7
tugs,5
tuna,6
tune,5
turd,6
turf,6
turn,5
tush,6
tusk,6
tuts,5
tutu,6
twas,7
twee,7
twig,7
twin,6
twit,7
twos,8
tyke,5
type,6
typo,7
tyre,5
umph,11
umps,10
unis,7
unit,6
urea,9
vain,5
vale,5
vamp,4
vane,6
vans,5
vary,7
vase,6
vast,5
vats,5
veal,6
veer,5
vees,5
vega,8
veil,7
vein,6
veld,5
vend,6
vent,6
vera,7
verb,7
vers,6
vert,6
very,7
vest,5
veto,6
vets,5
vial,6
vibe,6
vice,6
vids,5
vied,5
vier,6
vies,6
view,6
vile,5
vine,6
vino,7
viny,7
visa,7
vise,6
vite,6
viva,7
vive,6
vlog,4
void,5
vole,4
volt,4
vote,5
vows,4
wack,5
wade,6
wads,5
waft,6
wage,6
wags,5
waif,6
wail,5
wait,6
wake,5
wale,5
walk,5
wall,4
wand,6
wane,6
wank,5
want,6
ward,5
ware,5
warm,6
warn,5
warp,5
wars,6
wart,6
wary,6
wash,6
wasp,5
watt,7
wave,6
wavy,7
waxy,7
ways,5
weak,6
weal,6
wean,5
wear,5
webs,6
weds,5
weed,5
week,5
weep,4
wees,5
weft,5
weir,6
weld,5
well,5
welt,5
wend,6
went,6
wept,6
were,5
west,5
wets,5
wham,5
whap,4
what,5
whee,6
when,6
whet,6
whew,5
whey,6
whim,5
whip,4
whir,5
whit,5
whiz,5
whoa,7
whom,6
whys,6
wick,5
wide,6
wife,6
wigs,5
wild,5
wile,5
will,4
wilt,5
wily,5
wimp,3
wind,6
wine,6
wing,7
wink,6
wino,7
wins,6
wipe,5
wire,5
wiry,6
wise,5
wish,5
wisp,4
wist,5
with,6
wits,5
woad,4
woah,5
woes,4
woke,4
woks,4
wolf,3
womb,4
wont,5
wood,3
woof,2
wool,2
woos,3
word,4
wore,4
work,4
worm,5
worn,4
wort,5
wove,5
wows,4
wrap,4
wren,7
writ,6
wuss,6
xray,5
yaks,6
yams,5
yang,6
yank,5
yaps,5
yard,6
yarn,5
yawl,6
yawn,6
yaws,5
yeah,6
year,5
yeas,6
yell,5
yelp,6
yews,6
yips,6
yoke,4
yolk,6
yore,4
your,3
yuck,5
yule,6
yurt,6
zags,5
zany,8
zaps,5
zeal,6
zero,7
zest,5
zeta,6
zinc,7
zine,6
zing,7
zips,6
zits,5
zone,5
zonk,4
zoom,3
zoos,3
zoot,3
